124668802
         5969263 function calls (3835054 primitive calls) in 12.290 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.006    0.006 decoder.py:2(<module>)
    35/15    0.000    0.000    0.000    0.000 sre_parse.py:140(getwidth)
        1    0.000    0.000    0.000    0.000 RangeIndex.py:2(RangeIndex)
        1    0.000    0.000    0.003    0.003 encoder.py:2(<module>)
        1    0.000    0.000    0.001    0.001 {__import__}
       91    0.000    0.000    0.000    0.000 sre_parse.py:130(__getitem__)
       14    0.000    0.000    0.002    0.000 sre_compile.py:178(_compile_charset)
  434/419    0.000    0.000    0.000    0.000 {len}
     13/6    0.000    0.000    0.002    0.000 sre_parse.py:301(_parse_sub)
       94    0.000    0.000    0.001    0.000 sre_parse.py:201(get)
        6    0.000    0.000    0.007    0.001 re.py:226(_compile)
        4    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
        6    0.000    0.000    0.001    0.000 sre_compile.py:361(_compile_info)
       18    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
        6    0.000    0.000    0.006    0.001 sre_compile.py:495(compile)
      111    0.000    0.000    0.000    0.000 {isinstance}
       80    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
        1    0.000    0.000    0.000    0.000 RangeIndex.py:2(<module>)
        1    0.000    0.000    0.354    0.354 circuit2.py:271(__init__)
        6    0.000    0.000    0.003    0.000 sre_parse.py:663(parse)
       32    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       50    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
       56    0.000    0.000    0.000    0.000 {min}
        6    0.000    0.000    0.004    0.001 sre_compile.py:480(_code)
        9    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
       26    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
       25    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
        1    0.000    0.000    0.000    0.000 codecs.py:77(__new__)
        1    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
        1    0.000    0.000    0.001    0.001 decoder.py:17(_floatconstants)
       38    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 RangeIndex.py:5(__init__)
        2    0.000    0.000    0.000    0.000 UserDict.py:58(get)
        1    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
        6    0.000    0.000    0.000    0.000 {_sre.compile}
        6    0.000    0.000    0.007    0.001 re.py:188(compile)
       12    0.000    0.000    0.000    0.000 sre_compile.py:474(isstring)
        8    0.000    0.000    0.000    0.000 {range}
       32    0.000    0.000    0.000    0.000 {chr}
        6    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
        1    0.000    0.000    0.000    0.000 decoder.py:303(__init__)
        1    0.000    0.000    0.001    0.001 {method 'decode' of 'str' objects}
       54    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        6    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        1    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
       32    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 UserDict.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 hex_codec.py:70(getregentry)
        1    0.000    0.000    0.000    0.000 circuit2.py:15(Wire)
        6    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        6    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 {_struct.unpack}
        1    0.000    0.000    0.000    0.000 circuit2.py:173(__init__)
        9    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
        1    0.000    0.000   11.274   11.274 circuit2.py:285(count_crossings)
       15    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 circuit2.py:249(KeyWirePairL)
        1    0.000    0.000    0.000    0.000 encoder.py:101(__init__)
        1    0.000    0.000    0.000    0.000 hex_codec.py:27(hex_decode)
        1    0.000    0.000    0.000    0.000 encoder.py:70(JSONEncoder)
        4    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 circuit2.py:89(WireLayer)
        6    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {binascii.a2b_hex}
        1    0.000    0.000    0.000    0.000 circuit2.py:268(CrossVerifier)
        1    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x887160}
        1    0.000    0.000    0.000    0.000 hex_codec.py:45(Codec)
        1    0.000    0.000    0.000    0.000 circuit2.py:141(TracedRangeIndex)
        1    0.000    0.000    0.000    0.000 RangeIndex.py:443(Node)
        1    0.000    0.000    0.000    0.000 hex_codec.py:57(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 circuit2.py:355(TracedCrossVerifier)
        1    0.000    0.000    0.000    0.000 circuit2.py:187(TracedResultSet)
        1    0.000    0.000    0.000    0.000 hex_codec.py:52(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 circuit2.py:170(ResultSet)
        1    0.000    0.000    0.000    0.000 circuit2.py:92(__init__)
        1    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 circuit2.py:258(KeyWirePairH)
        1    0.000    0.000    0.000    0.000 hex_codec.py:62(StreamWriter)
        1    0.000    0.000    0.000    0.000 {hasattr}
        1    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 hex_codec.py:65(StreamReader)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 circuit2.py:200(KeyWirePair)
        1    0.000    0.000    0.000    0.000 decoder.py:273(JSONDecoder)


